Language,Proportion
en,0.12952323831770785
es,0.065479760514326
id,0.03445500173616591
tl,0.03319759672548586
it,0.028057493397308418
ar,0.02510601134295064
fi,0.02509022801645675
sw,0.02210191820027989
de,0.022001957132485244
ru,0.016730326083525364
fr,0.015883287561686502
eo,0.01565179877310942
zh,0.014967854625040774
pl,0.013999810600082074
fa,0.013631532981891263
hi,0.013568399675915697
nl,0.013542094131759209
tr,0.012432000168355483
sr,0.011253511790144891
cy,0.010774750886496837
pt,0.010232856676873217
et,0.010159201153235056
sq,0.010117112282584677
war,0.00980144575270684
hr,0.009122762713469491
ur,0.0079442743352589
tt,0.00786535770278944
ms,0.007686480002525332
sl,0.007170891337058199
az,0.007107758031082631
no,0.006902574786662037
kk,0.006665824889253659
ku,0.006576386039121605
qu,0.006376463903532309
ro,0.006371202794701011
vi,0.006255458400412471
cs,0.006155497332617822
ca,0.006097625135473552
lt,0.006029230720666688
be,0.005781958605595715
ceb,0.0056136031229942025
hu,0.0056136031229942025
ne,0.005545208708187337
uk,0.005413680987404906
or,0.005276892157791176
bo,0.005255847722465987
am,0.005245325504803392
el,0.005166408872333933
tg,0.0051348422193461495
ky,0.00511379778402096
ckb,0.005082231131033177
la,0.004861264560118691
ja,0.004724475730504961
uz,0.004719214621673664
da,0.00468764796868588
jbo,0.004671864642191988
is,0.004645559098035502
mg,0.004356198112314151
eu,0.004214148173869125
su,0.00414575375906226
mn,0.004108925997243179
gn,0.004045792691267611
als,0.003961614949966855
ka,0.00391426497048518
ast,0.00383534833801572
lv,0.003787998358534045
br,0.00377747614087145
jv,0.0037143428348958827
ilo,0.0035933373317760453
sv,0.0035249429169691804
krc,0.003514420699306586
io,0.0035038984816439913
ug,0.0032618874754043164
kn,0.0032303208224165325
bg,0.0031724486252722624
mr,0.003167187516440965
nds,0.0031514041899470733
ga,0.003146143081115776
pms,0.003072487557477614
ml,0.003035659795658533
he,0.002946220945526479
ce,0.0029356987278638847
sa,0.0029356987278638847
mt,0.0029356987278638847
gom,0.0028988709660448036
hy,0.0028567820953944254
lo,0.0028304765512379387
ba,0.0028304765512379387
ta,0.002814693224744047
sk,0.0028041710070814524
mk,0.0028041710070814524
gu,0.0027094710481181013
my,0.002688426612792912
sah,0.002683165503961615
dv,0.002677904395130318
ko,0.002667382177467723
th,0.002667382177467723
si,0.0026568599598051287
vo,0.002646337742142534
km,0.002641076633311237
pa,0.002630554415648642
sd,0.0025989877626608586
as,0.0025674211096730747
af,0.0025463766743478856
cv,0.0025411155655165885
gl,0.002520071130191399
new,0.0025148100213601018
yi,0.0025042878036975074
min,0.00249902669486621
xmf,0.0024885044772036155
pnb,0.0024779822595410207
mhr,0.0024148489535654534
fy,0.002367498974083778
arz,0.0023569767564211833
os,0.002330671212264697
ps,0.002283321232783021
lmo,0.0021780990561570757
tk,0.0021623157296631838
bpy,0.0021202268590128056
gd,0.0020570935530372383
kv,0.0019518713764112925
mzn,0.001904521396929617
kw,0.0018939991792670224
oc,0.001851910308616644
hsb,0.0017519492408219956
nn,0.0015835937582204826
azb,0.0014783715815945369
eml,0.001388932731462483
rm,0.0013573660784746992
sh,0.001331060534318213
lb,0.0012626661195113483
ia,0.0012100550311983753
mai,0.001131138398728916
nap,0.0010837884192472405
so,0.0010574828750907542
scn,0.0010153940044403758
an,0.0010101328956090786
bs,0.0009417384808022139
wa,0.0009049107189831329
ht,0.0008943885013205383
bh,0.0008838662836579438
vec,0.0008207329776823764
yo,0.0008154718688510791
li,0.0007733829982007008
diq,0.0007628607805381062
bn,0.000757599671706809
ie,0.0007365552363816197
mwl,0.000683944148068647
gv,0.0006786830392373496
tyv,0.0006102886244304849
vep,0.0005892441891052958
myv,0.0004366720329976746
bar,0.0003682776181908099
cbk,0.00027357765922745875
sc,0.0002630554415648642
bxr,0.00022622767974578322
pam,0.00022096657091448595
sco,0.00021044435325189137
nah,0.00019466102675799951
lez,0.00016835548260151308
vls,0.0001630943737702158
av,0.00012100550311983754
wuu,9.99610677946484e-05
bcl,9.99610677946484e-05
dsb,6.839441480686469e-05
yue,6.313330597556741e-05
mrj,5.7872197144270124e-05
co,3.682776181908099e-05
frr,3.682776181908099e-05
hif,3.1566652987783707e-05
te,2.630554415648642e-05
xal,2.1044435325189135e-05
rue,1.5783326493891853e-05
pfl,1.0522217662594568e-05
